id Employee,First Name,Last Name,Address1,City,State,Zip,phone,Role Name,Active,Hire Date,Termination Date
1,Brody,Mathis,P.O. Box 626, 4076 Purus, Avenue,Honolulu,HI,51167,241-871-7785,Server,true,2012-01-05,null
2,Xerxes,Cash,935-6903 Nec St.,Iowa City,IA,64381,426-701-8397,Server,true,2012-01-05,null
3,Margaret,Chaney,Ap #343-1761 A, Street,Bloomington,MN,86939,420-204-6023,Server,true,2012-05-16,null
4,Rudyard,Rodriguez,8810 Consectetuer Road,Springfield,MA,96325,551-161-4687,Server,true,2013-08-04,null
5,Perry,Delacruz,Ap #199-5168 Vivamus Avenue,Atlanta,GA,66844,153-247-0225,Server,true,2012-05-06,null
6,Ava,Pearson,5995 Posuere Av.,Kansas City,MO,46587,935-410-1067,Accounting,true,2013-01-05,null
7,Myra,Stark,5561 Ultricies Av.,Idaho Falls,ID,95591,662-368-5509,Cook,true,2013-01-05,null
8,Roary,George,Ap #259-3024 Libero St.,Louisville,KY,77660,101-627-6235,Cook,false,2013-01-05,2013-05-01
9,Theodore,Bray,2854 Massa Street,Allentown,PA,24937,461-973-6957,Cook,true,2013-01-05,null
10,Debra,Warren,PO Box 780 Vehicula Rd,Anchorage,AK,99788,573-747-4015,Cook,false,2012-01-05,2013-11-21
11,BlossomEDITED,BurrisEDITED,EDITED Aliquet Ave,Glendale EDITED,MT,59801,555-123-5511,Server,true,2012-01-05,null
12,Tiger,Swanson,EDITED Aliquet Ave,Glendale EDITED,MT,59801,555-123-5511,Host,true,2012-05-16,null
13,Brenden,Mooney,Ap 9724 Dui Road,Memphis,TN,57301,885-604-5142,Accounting,true,2013-08-04,null
14,Germaine,Lester,532 Lobortis Ave.,Madisone,MA,58008,555-555-1122,Manager,true,2012-05-06,null
15,Hermione,Terry,P.O. Box 626, 4076 Purus, Avenue,Honolulu,HI,51167,241-871-7785,Manager,true,2013-01-05,null
16,Dakota,Hill,9286 Mi St.,Montgomery,AL,35810,774-244-1106,Manager,true,2012-01-05,null
17,Katell,English,P.O. Box 666, 6451 Ipsum Avenue,Aurora,CO,50876,482-588-6391,Marketing,true,2012-01-05,null
36,Joshua,Lawson,Ap #997-452 Amet, St.,South Burlington,VT,70886,591-843-5683,Bus,true,2012-05-16,null
37,Jack,Johnson,1445 Virginia Ct,Missoula,MT,59821,406-222-1155,Host,false,2013-08-04,2013-05-31
38,Kyle,McMinimin,789 Seseme Street,SLC,UT,84010,801-255-6666,Cook,false,2012-05-06,2013-06-07
39,Holly,Johnson,123 Buffalo Ct,Little Rock,AK,55522,555-111-2535,Marketing,false,2013-05-31,2013-05-31
40,Shelly,Norris,1355887445 Hells Ct,Norris,MT,59552,456-222-2244,Cook,true,2013-10-01,null
41,Janet,Jackson,456456 my Street,Missoula,MT,59321,406-555-2225,Manager,false,2013-11-28,null
42,Jack,Johnson,123 University Ave,SLC,UT,59801,406-555-1234,Manager,true,2013-01-01,null
43,John,Jackson,House,afds,AL,12345,406-555-1234,Bus,false,2013-11-01,2013-11-21
